videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
rW-fqPGC7lw,Что происходит на заводах на самом деле? #short,UCtN5feWKjRbbtHStgVDhz1g,sarahl1985,2026-04-10 09:45:00 PM,23,755,16,1,295000
UeuhnCkbJag,"見習稱""兩岸中國人"" 陸委會:對鄭麗文言論很遺憾  11號中共發""惠台大禮包""? 陸委會:養套殺.統戰手法｜三立新聞網 SETN.com",UCIU8ha-NHmLjtUwU7dFiXUA,三立新聞網SETN,2026-04-10 10:01:02 PM,106,137,1,1,3090000
fB9CNZmBE4s,A Special 40th Birthday Surprise for Vincent Kompany 🎁,UCZkcxFIsqW5htimoUQKA0iA,FC Bayern München,2026-04-10 09:39:59 PM,60,6835,1019,75,5330000
5XQP2Cy93gs,Saadi ke baad 1 st birthday 😥 #youtubeshorts #love #ytshorts #birthday #couple,UCMERONqTzW6iG9mEzQcwIQA,Shubham Ananya vlogs ,2026-04-10 09:28:33 PM,60,30902,2330,63,321000
-fiiJ31fwBw,'전쟁 추경' 합의 처리‥최대 60만 원 지원 (2026.04.11/뉴스25/MBC),UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,2026-04-10 09:52:15 PM,114,1190,44,15,6150000
jDEUiwlYM2M,"""This is stupidity!"" 😱",UCMmVPVb0BwSIOWVeDwlPocQ,The United Stand,2026-04-10 09:31:17 PM,71,5116,299,16,2250000
LlzfCwQ3AIw,Pakistan's Failed Bid in US-Iran Peace Deal | Ankit Agrawal #short,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,2026-04-10 10:00:21 PM,74,12372,724,15,20300000
fjWdOAroou8,LES GENS PENSAIENT QU'IL GASPILLAIT TOUT ! 😱🏗️🚫,UCmej3PrVAetb4DTgcsEuEPQ,Neezay Shorts,2026-04-10 09:31:27 PM,20,6178,99,0,3040000
05vyXRCdrUg,The Guide You've Been Waiting For...,UClHVl2N3jPEbkNJVx-ItQIQ,HealthyGamerGG,2026-04-10 09:30:02 PM,93,6026,1177,141,3260000
kxgcKL7eFWg,"Champagner im Glas, Benzin im Blut!",UC1-VOKyTJrgLiBeiJqzeIUQ,JP Performance GmbH,2026-04-10 09:31:32 PM,37,4491,109,5,2700000
oXfEGuzYhlo,TOP News: 9 बजे की बड़ी खबरें | US Iran Ceasefire | Trump | Israel | Breaking News | Bihar | AIMIM,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2026-04-10 09:33:33 PM,49,985,12,0,50400000
